SFO_MV,MV_SFO,time_sec
54.0,82.0,500400
49.0,69.0,504000
48.0,61.0,507600
44.0,49.0,511200
33.0,35.0,514800
22.0,19.0,518400
18.0,10.0,522000
19.0,7.0,525600
23.0,7.0,529200
41.0,11.0,532800
78.0,26.0,536400
91.0,48.0,540000
92.0,71.0,543600
88.0,75.0,547200
82.0,72.0,550800
79.0,72.0,554400
74.0,76.0,558000
68.0,82.0,561600
66.0,88.0,565200
68.0,97.0,568800
68.0,95.0,572400
73.0,92.0,576000
75.0,89.0,579600
68.0,89.0,583200
54.0,82.0,586800
49.0,69.0,590400
48.0,61.0,594000
44.0,49.0,597600
33.0,35.0,601200
22.0,19.0,604800
18.0,10.0,608400
19.0,7.0,612000
23.0,7.0,615600
41.0,11.0,619200
78.0,26.0,622800
91.0,48.0,626400
92.0,71.0,630000
88.0,75.0,633600
82.0,72.0,637200
79.0,72.0,640800
74.0,76.0,644400
68.0,82.0,648000
66.0,88.0,651600
68.0,97.0,655200
68.0,95.0,658800
73.0,92.0,662400
75.0,89.0,666000
68.0,89.0,669600
54.0,82.0,673200
49.0,69.0,676800
48.0,61.0,680400
44.0,49.0,684000
33.0,35.0,687600
22.0,19.0,691200
18.0,10.0,694800
19.0,7.0,698400
23.0,7.0,702000
41.0,11.0,705600
78.0,26.0,709200
91.0,48.0,712800
92.0,71.0,716400
88.0,75.0,720000
82.0,72.0,723600
79.0,72.0,727200
74.0,76.0,730800
68.0,82.0,734400
66.0,88.0,738000
68.0,97.0,741600
68.0,95.0,745200
73.0,92.0,748800
75.0,89.0,752400
68.0,89.0,756000
54.0,82.0,759600
49.0,69.0,763200
48.0,61.0,766800
44.0,49.0,770400
33.0,35.0,774000
22.0,19.0,777600
18.0,10.0,781200
19.0,7.0,784800
23.0,7.0,788400
41.0,11.0,792000
78.0,26.0,795600
91.0,48.0,799200
92.0,71.0,802800
88.0,75.0,806400
82.0,72.0,810000
79.0,72.0,813600
74.0,76.0,817200
68.0,82.0,820800
66.0,88.0,824400
68.0,97.0,828000
68.0,95.0,831600
73.0,92.0,835200
75.0,89.0,838800
68.0,89.0,842400
54.0,82.0,846000
49.0,69.0,849600
48.0,61.0,853200
44.0,49.0,856800
33.0,35.0,860400
22.0,19.0,864000
18.0,10.0,867600
19.0,7.0,871200
23.0,7.0,874800
41.0,11.0,878400
78.0,26.0,882000
91.0,48.0,885600
92.0,71.0,889200
88.0,75.0,892800
82.0,72.0,896400
79.0,72.0,900000
74.0,76.0,903600
68.0,82.0,907200
66.0,88.0,910800
68.0,97.0,914400
68.0,95.0,918000
73.0,92.0,921600
75.0,89.0,925200
68.0,89.0,928800
54.0,82.0,932400
49.0,69.0,936000
48.0,61.0,939600
44.0,49.0,943200
33.0,35.0,946800
22.0,19.0,950400
18.0,10.0,954000
19.0,7.0,957600
23.0,7.0,961200
41.0,11.0,964800
78.0,26.0,968400
91.0,48.0,972000
92.0,71.0,975600
88.0,75.0,979200
82.0,72.0,982800
79.0,72.0,986400
74.0,76.0,990000
68.0,82.0,993600
66.0,88.0,997200
68.0,97.0,1000800
68.0,95.0,1004400
73.0,92.0,1008000
75.0,89.0,1011600
68.0,89.0,1015200
54.0,82.0,1018800
49.0,69.0,1022400
48.0,61.0,1026000
44.0,49.0,1029600
33.0,35.0,1033200
22.0,19.0,1036800
18.0,10.0,1040400
19.0,7.0,1044000
23.0,7.0,1047600
41.0,11.0,1051200
78.0,26.0,1054800
91.0,48.0,1058400
92.0,71.0,1062000
88.0,75.0,1065600
82.0,72.0,1069200
79.0,72.0,1072800
74.0,76.0,1076400
68.0,82.0,1080000
66.0,88.0,1083600
68.0,97.0,1087200
68.0,95.0,1090800
73.0,92.0,1094400
75.0,89.0,1098000
68.0,89.0,1101600
54.0,82.0,1105200
49.0,69.0,1108800
48.0,61.0,1112400
44.0,49.0,1116000
33.0,35.0,1119600
22.0,19.0,1123200
18.0,10.0,1126800
19.0,7.0,1130400
23.0,7.0,1134000
41.0,11.0,1137600
78.0,26.0,1141200
91.0,48.0,1144800
92.0,71.0,1148400
88.0,75.0,1152000
82.0,72.0,1155600
79.0,72.0,1159200
74.0,76.0,1162800
68.0,82.0,1166400
66.0,88.0,1170000
68.0,97.0,1173600
68.0,95.0,1177200
73.0,92.0,1180800
75.0,89.0,1184400
68.0,89.0,1188000
54.0,82.0,1191600
49.0,69.0,1195200
48.0,61.0,1198800
44.0,49.0,1202400
33.0,35.0,1206000
22.0,19.0,1209600
18.0,10.0,1213200
19.0,7.0,1216800
23.0,7.0,1220400
41.0,11.0,1224000
78.0,26.0,1227600
91.0,48.0,1231200
92.0,71.0,1234800
88.0,75.0,1238400
82.0,72.0,1242000
79.0,72.0,1245600
74.0,76.0,1249200
68.0,82.0,1252800
66.0,88.0,1256400
68.0,97.0,1260000
68.0,95.0,1263600
73.0,92.0,1267200
75.0,89.0,1270800
68.0,89.0,1274400
54.0,82.0,1278000
49.0,69.0,1281600
48.0,61.0,1285200
44.0,49.0,1288800
33.0,35.0,1292400
22.0,19.0,1296000
18.0,10.0,1299600
19.0,7.0,1303200
23.0,7.0,1306800
41.0,11.0,1310400
78.0,26.0,1314000
91.0,48.0,1317600
92.0,71.0,1321200
88.0,75.0,1324800
82.0,72.0,1328400
79.0,72.0,1332000
74.0,76.0,1335600
68.0,82.0,1339200
66.0,88.0,1342800
68.0,97.0,1346400
68.0,95.0,1350000
73.0,92.0,1353600
75.0,89.0,1357200
68.0,89.0,1360800
54.0,82.0,1364400
49.0,69.0,1368000
48.0,61.0,1371600
44.0,49.0,1375200
33.0,35.0,1378800
22.0,19.0,1382400
18.0,10.0,1386000
19.0,7.0,1389600
23.0,7.0,1393200
41.0,11.0,1396800
78.0,26.0,1400400
91.0,48.0,1404000
92.0,71.0,1407600
88.0,75.0,1411200
82.0,72.0,1414800
79.0,72.0,1418400
74.0,76.0,1422000
68.0,82.0,1425600
66.0,88.0,1429200
68.0,97.0,1432800
68.0,95.0,1436400
73.0,92.0,1440000
75.0,89.0,1443600
68.0,89.0,1447200
54.0,82.0,1450800
49.0,69.0,1454400
48.0,61.0,1458000
44.0,49.0,1461600
33.0,35.0,1465200
22.0,19.0,1468800
18.0,10.0,1472400
19.0,7.0,1476000
23.0,7.0,1479600
41.0,11.0,1483200
78.0,26.0,1486800
91.0,48.0,1490400
92.0,71.0,1494000
88.0,75.0,1497600
82.0,72.0,1501200
79.0,72.0,1504800
74.0,76.0,1508400
68.0,82.0,1512000
66.0,88.0,1515600
68.0,97.0,1519200
68.0,95.0,1522800
73.0,92.0,1526400
75.0,89.0,1530000
68.0,89.0,1533600
54.0,82.0,1537200
49.0,69.0,1540800
48.0,61.0,1544400
44.0,49.0,1548000
33.0,35.0,1551600
22.0,19.0,1555200
18.0,10.0,1558800
19.0,7.0,1562400
23.0,7.0,1566000
41.0,11.0,1569600
78.0,26.0,1573200
91.0,48.0,1576800
92.0,71.0,1580400
88.0,75.0,1584000
82.0,72.0,1587600
79.0,72.0,1591200
74.0,76.0,1594800
68.0,82.0,1598400
66.0,88.0,1602000
68.0,97.0,1605600
68.0,95.0,1609200
73.0,92.0,1612800
75.0,89.0,1616400
68.0,89.0,1620000
54.0,82.0,1623600
49.0,69.0,1627200
48.0,61.0,1630800
44.0,49.0,1634400
33.0,35.0,1638000
22.0,19.0,1641600
18.0,10.0,1645200
19.0,7.0,1648800
23.0,7.0,1652400
41.0,11.0,1656000
78.0,26.0,1659600
91.0,48.0,1663200
92.0,71.0,1666800
88.0,75.0,1670400
82.0,72.0,1674000
79.0,72.0,1677600
74.0,76.0,1681200
68.0,82.0,1684800
66.0,88.0,1688400
68.0,97.0,1692000
68.0,95.0,1695600
73.0,92.0,1699200
75.0,89.0,1702800
68.0,89.0,1706400
54.0,82.0,1710000
49.0,69.0,1713600
48.0,61.0,1717200
44.0,49.0,1720800
33.0,35.0,1724400
22.0,19.0,1728000
18.0,10.0,1731600
19.0,7.0,1735200
23.0,7.0,1738800
41.0,11.0,1742400
78.0,26.0,1746000
91.0,48.0,1749600
92.0,71.0,1753200
88.0,75.0,1756800
82.0,72.0,1760400
79.0,72.0,1764000
74.0,76.0,1767600
68.0,82.0,1771200
66.0,88.0,1774800
68.0,97.0,1778400
68.0,95.0,1782000
73.0,92.0,1785600
75.0,89.0,1789200
68.0,89.0,1792800
54.0,82.0,1796400
49.0,69.0,1800000
48.0,61.0,1803600
44.0,49.0,1807200
33.0,35.0,1810800
22.0,19.0,1814400
18.0,10.0,1818000
19.0,7.0,1821600
23.0,7.0,1825200
41.0,11.0,1828800
78.0,26.0,1832400
91.0,48.0,1836000
92.0,71.0,1839600
88.0,75.0,1843200
82.0,72.0,1846800
79.0,72.0,1850400
74.0,76.0,1854000
68.0,82.0,1857600
66.0,88.0,1861200
68.0,97.0,1864800
68.0,95.0,1868400
73.0,92.0,1872000
75.0,89.0,1875600
68.0,89.0,1879200
54.0,82.0,1882800
49.0,69.0,1886400
48.0,61.0,1890000
44.0,49.0,1893600
33.0,35.0,1897200
22.0,19.0,1900800
18.0,10.0,1904400
19.0,7.0,1908000
23.0,7.0,1911600
41.0,11.0,1915200
78.0,26.0,1918800
91.0,48.0,1922400
92.0,71.0,1926000
88.0,75.0,1929600
82.0,72.0,1933200
79.0,72.0,1936800
74.0,76.0,1940400
68.0,82.0,1944000
66.0,88.0,1947600
68.0,97.0,1951200
68.0,95.0,1954800
73.0,92.0,1958400
75.0,89.0,1962000
68.0,89.0,1965600
54.0,82.0,1969200
49.0,69.0,1972800
48.0,61.0,1976400
44.0,49.0,1980000
33.0,35.0,1983600
22.0,19.0,1987200
18.0,10.0,1990800
19.0,7.0,1994400
23.0,7.0,1998000
41.0,11.0,2001600
78.0,26.0,2005200
91.0,48.0,2008800
92.0,71.0,2012400
88.0,75.0,2016000
82.0,72.0,2019600
79.0,72.0,2023200
74.0,76.0,2026800
68.0,82.0,2030400
66.0,88.0,2034000
68.0,97.0,2037600
68.0,95.0,2041200
73.0,92.0,2044800
75.0,89.0,2048400
68.0,89.0,2052000
54.0,82.0,2055600
49.0,69.0,2059200
48.0,61.0,2062800
44.0,49.0,2066400
33.0,35.0,2070000
22.0,19.0,2073600
18.0,10.0,2077200
19.0,7.0,2080800
23.0,7.0,2084400
41.0,11.0,2088000
78.0,26.0,2091600
91.0,48.0,2095200
92.0,71.0,2098800
88.0,75.0,2102400
82.0,72.0,2106000
79.0,72.0,2109600
74.0,76.0,2113200
68.0,82.0,2116800
66.0,88.0,2120400
68.0,97.0,2124000
68.0,95.0,2127600
73.0,92.0,2131200
75.0,89.0,2134800
68.0,89.0,2138400
54.0,82.0,2142000
49.0,69.0,2145600
48.0,61.0,2149200
44.0,49.0,2152800
33.0,35.0,2156400
22.0,19.0,2160000
18.0,10.0,2163600
19.0,7.0,2167200
23.0,7.0,2170800
41.0,11.0,2174400
78.0,26.0,2178000
91.0,48.0,2181600
92.0,71.0,2185200
88.0,75.0,2188800
82.0,72.0,2192400
79.0,72.0,2196000
74.0,76.0,2199600
68.0,82.0,2203200
66.0,88.0,2206800
68.0,97.0,2210400
68.0,95.0,2214000
73.0,92.0,2217600
75.0,89.0,2221200
68.0,89.0,2224800
54.0,82.0,2228400
49.0,69.0,2232000
48.0,61.0,2235600
44.0,49.0,2239200
33.0,35.0,2242800
22.0,19.0,2246400
18.0,10.0,2250000
19.0,7.0,2253600
23.0,7.0,2257200
41.0,11.0,2260800
78.0,26.0,2264400
91.0,48.0,2268000
92.0,71.0,2271600
88.0,75.0,2275200
82.0,72.0,2278800
79.0,72.0,2282400
74.0,76.0,2286000
68.0,82.0,2289600
66.0,88.0,2293200
68.0,97.0,2296800
68.0,95.0,2300400
73.0,92.0,2304000
75.0,89.0,2307600
68.0,89.0,2311200
54.0,82.0,2314800
49.0,69.0,2318400
48.0,61.0,2322000
44.0,49.0,2325600
33.0,35.0,2329200
22.0,19.0,2332800
18.0,10.0,2336400
19.0,7.0,2340000
23.0,7.0,2343600
41.0,11.0,2347200
78.0,26.0,2350800
91.0,48.0,2354400
92.0,71.0,2358000
88.0,75.0,2361600
82.0,72.0,2365200
79.0,72.0,2368800
74.0,76.0,2372400
68.0,82.0,2376000
66.0,88.0,2379600
68.0,97.0,2383200
68.0,95.0,2386800
73.0,92.0,2390400
75.0,89.0,2394000
68.0,89.0,2397600
54.0,82.0,2401200
49.0,69.0,2404800
48.0,61.0,2408400
44.0,49.0,2412000
33.0,35.0,2415600
22.0,19.0,2419200
18.0,10.0,2422800
19.0,7.0,2426400
23.0,7.0,2430000
41.0,11.0,2433600
78.0,26.0,2437200
91.0,48.0,2440800
92.0,71.0,2444400
88.0,75.0,2448000
82.0,72.0,2451600
79.0,72.0,2455200
74.0,76.0,2458800
68.0,82.0,2462400
66.0,88.0,2466000
68.0,97.0,2469600
68.0,95.0,2473200
73.0,92.0,2476800
75.0,89.0,2480400
68.0,89.0,2484000
54.0,82.0,2487600
49.0,69.0,2491200
48.0,61.0,2494800
44.0,49.0,2498400
33.0,35.0,2502000
22.0,19.0,2505600
18.0,10.0,2509200
19.0,7.0,2512800
23.0,7.0,2516400
41.0,11.0,2520000
78.0,26.0,2523600
91.0,48.0,2527200
92.0,71.0,2530800
88.0,75.0,2534400
82.0,72.0,2538000
79.0,72.0,2541600
74.0,76.0,2545200
68.0,82.0,2548800
66.0,88.0,2552400
68.0,97.0,2556000
68.0,95.0,2559600
73.0,92.0,2563200
75.0,89.0,2566800
68.0,89.0,2570400
54.0,82.0,2574000
49.0,69.0,2577600
48.0,61.0,2581200
44.0,49.0,2584800
33.0,35.0,2588400
22.0,19.0,2592000
18.0,10.0,2595600
19.0,7.0,2599200
23.0,7.0,2602800
41.0,11.0,2606400
78.0,26.0,2610000
91.0,48.0,2613600
92.0,71.0,2617200
88.0,75.0,2620800
82.0,72.0,2624400
79.0,72.0,2628000
74.0,76.0,2631600
68.0,82.0,2635200
66.0,88.0,2638800
68.0,97.0,2642400
68.0,95.0,2646000
73.0,92.0,2649600
75.0,89.0,2653200
68.0,89.0,2656800
54.0,82.0,2660400
49.0,69.0,2664000
48.0,61.0,2667600
44.0,49.0,2671200
33.0,35.0,2674800
22.0,19.0,2678400
18.0,10.0,2682000
19.0,7.0,2685600
23.0,7.0,2689200
41.0,11.0,2692800
78.0,26.0,2696400
91.0,48.0,2700000
92.0,71.0,2703600
88.0,75.0,2707200
82.0,72.0,2710800
79.0,72.0,2714400
74.0,76.0,2718000
68.0,82.0,2721600
66.0,88.0,2725200
68.0,97.0,2728800
68.0,95.0,2732400
73.0,92.0,2736000
75.0,89.0,2739600
68.0,89.0,2743200
54.0,82.0,2746800
49.0,69.0,2750400
48.0,61.0,2754000
44.0,49.0,2757600
33.0,35.0,2761200
22.0,19.0,2764800
18.0,10.0,2768400
19.0,7.0,2772000
23.0,7.0,2775600
41.0,11.0,2779200
78.0,26.0,2782800
91.0,48.0,2786400
92.0,71.0,2790000
88.0,75.0,2793600
82.0,72.0,2797200
79.0,72.0,2800800
74.0,76.0,2804400
68.0,82.0,2808000
66.0,88.0,2811600
68.0,97.0,2815200
68.0,95.0,2818800
73.0,92.0,2822400
75.0,89.0,2826000
68.0,89.0,2829600
54.0,82.0,2833200
49.0,69.0,2836800
48.0,61.0,2840400
44.0,49.0,2844000
33.0,35.0,2847600
22.0,19.0,2851200
18.0,10.0,2854800
19.0,7.0,2858400
23.0,7.0,2862000
41.0,11.0,2865600
78.0,26.0,2869200
91.0,48.0,2872800
92.0,71.0,2876400
88.0,75.0,2880000
82.0,72.0,2883600
79.0,72.0,2887200
74.0,76.0,2890800
68.0,82.0,2894400
66.0,88.0,2898000
68.0,97.0,2901600
68.0,95.0,2905200
73.0,92.0,2908800
75.0,89.0,2912400
68.0,89.0,2916000
54.0,82.0,2919600
49.0,69.0,2923200
48.0,61.0,2926800
44.0,49.0,2930400
33.0,35.0,2934000
22.0,19.0,2937600
18.0,10.0,2941200
19.0,7.0,2944800
23.0,7.0,2948400
41.0,11.0,2952000
78.0,26.0,2955600
91.0,48.0,2959200
92.0,71.0,2962800
88.0,75.0,2966400
82.0,72.0,2970000
79.0,72.0,2973600
74.0,76.0,2977200
68.0,82.0,2980800
66.0,88.0,2984400
68.0,97.0,2988000
68.0,95.0,2991600
73.0,92.0,2995200
75.0,89.0,2998800
68.0,89.0,3002400
54.0,82.0,3006000
49.0,69.0,3009600
48.0,61.0,3013200
44.0,49.0,3016800
33.0,35.0,3020400
22.0,19.0,3024000
18.0,10.0,3027600
19.0,7.0,3031200
23.0,7.0,3034800
41.0,11.0,3038400
78.0,26.0,3042000
91.0,48.0,3045600
92.0,71.0,3049200
88.0,75.0,3052800
82.0,72.0,3056400
79.0,72.0,3060000
74.0,76.0,3063600
68.0,82.0,3067200
66.0,88.0,3070800
68.0,97.0,3074400
68.0,95.0,3078000
73.0,92.0,3081600
75.0,89.0,3085200
68.0,89.0,3088800
54.0,82.0,3092400
49.0,69.0,3096000
48.0,61.0,3099600
44.0,49.0,3103200
33.0,35.0,3106800
22.0,19.0,3110400
18.0,10.0,3114000
19.0,7.0,3117600
23.0,7.0,3121200
41.0,11.0,3124800
78.0,26.0,3128400
91.0,48.0,3132000
92.0,71.0,3135600
88.0,75.0,3139200
82.0,72.0,3142800
79.0,72.0,3146400
74.0,76.0,3150000
68.0,82.0,3153600
66.0,88.0,3157200
68.0,97.0,3160800
68.0,95.0,3164400
73.0,92.0,3168000
75.0,89.0,3171600
68.0,89.0,3175200
54.0,82.0,3178800
49.0,69.0,3182400
48.0,61.0,3186000
44.0,49.0,3189600
33.0,35.0,3193200
22.0,19.0,3196800
18.0,10.0,3200400
19.0,7.0,3204000
23.0,7.0,3207600
41.0,11.0,3211200
78.0,26.0,3214800
91.0,48.0,3218400
92.0,71.0,3222000
88.0,75.0,3225600
82.0,72.0,3229200
79.0,72.0,3232800
74.0,76.0,3236400
68.0,82.0,3240000
66.0,88.0,3243600
68.0,97.0,3247200
68.0,95.0,3250800
73.0,92.0,3254400
75.0,89.0,3258000
68.0,89.0,3261600
54.0,82.0,3265200
49.0,69.0,3268800
48.0,61.0,3272400
44.0,49.0,3276000
33.0,35.0,3279600
22.0,19.0,3283200
18.0,10.0,3286800
19.0,7.0,3290400
23.0,7.0,3294000
41.0,11.0,3297600
78.0,26.0,3301200
91.0,48.0,3304800
92.0,71.0,3308400
88.0,75.0,3312000
82.0,72.0,3315600
79.0,72.0,3319200
74.0,76.0,3322800
68.0,82.0,3326400
66.0,88.0,3330000
68.0,97.0,3333600
68.0,95.0,3337200
73.0,92.0,3340800
75.0,89.0,3344400
68.0,89.0,3348000
54.0,82.0,3351600
49.0,69.0,3355200
48.0,61.0,3358800
44.0,49.0,3362400
33.0,35.0,3366000
22.0,19.0,3369600
18.0,10.0,3373200
19.0,7.0,3376800
23.0,7.0,3380400
41.0,11.0,3384000
78.0,26.0,3387600
91.0,48.0,3391200
92.0,71.0,3394800
88.0,75.0,3398400
82.0,72.0,3402000
79.0,72.0,3405600
74.0,76.0,3409200
68.0,82.0,3412800
66.0,88.0,3416400
68.0,97.0,3420000
68.0,95.0,3423600
73.0,92.0,3427200
75.0,89.0,3430800
68.0,89.0,3434400
54.0,82.0,3438000
49.0,69.0,3441600
48.0,61.0,3445200
44.0,49.0,3448800
33.0,35.0,3452400
22.0,19.0,3456000
18.0,10.0,3459600
19.0,7.0,3463200
23.0,7.0,3466800
41.0,11.0,3470400
78.0,26.0,3474000
91.0,48.0,3477600
92.0,71.0,3481200
88.0,75.0,3484800
82.0,72.0,3488400
79.0,72.0,3492000
74.0,76.0,3495600
68.0,82.0,3499200
66.0,88.0,3502800
68.0,97.0,3506400
68.0,95.0,3510000
73.0,92.0,3513600
75.0,89.0,3517200
68.0,89.0,3520800
54.0,82.0,3524400
49.0,69.0,3528000
48.0,61.0,3531600
44.0,49.0,3535200
33.0,35.0,3538800
22.0,19.0,3542400
18.0,10.0,3546000
19.0,7.0,3549600
23.0,7.0,3553200
41.0,11.0,3556800
78.0,26.0,3560400
91.0,48.0,3564000
92.0,71.0,3567600
88.0,75.0,3571200
82.0,72.0,3574800
79.0,72.0,3578400
74.0,76.0,3582000
68.0,82.0,3585600
66.0,88.0,3589200
68.0,97.0,3592800
68.0,95.0,3596400
73.0,92.0,3600000
75.0,89.0,3603600
68.0,89.0,3607200
54.0,82.0,3610800
49.0,69.0,3614400
48.0,61.0,3618000
44.0,49.0,3621600
33.0,35.0,3625200
22.0,19.0,3628800
18.0,10.0,3632400
19.0,7.0,3636000
23.0,7.0,3639600
41.0,11.0,3643200
78.0,26.0,3646800
91.0,48.0,3650400
92.0,71.0,3654000
88.0,75.0,3657600
82.0,72.0,3661200
79.0,72.0,3664800
74.0,76.0,3668400
68.0,82.0,3672000
66.0,88.0,3675600
68.0,97.0,3679200
68.0,95.0,3682800
73.0,92.0,3686400
75.0,89.0,3690000
68.0,89.0,3693600
54.0,82.0,3697200
49.0,69.0,3700800
48.0,61.0,3704400
44.0,49.0,3708000
33.0,35.0,3711600
22.0,19.0,3715200
18.0,10.0,3718800
19.0,7.0,3722400
23.0,7.0,3726000
41.0,11.0,3729600
78.0,26.0,3733200
91.0,48.0,3736800
92.0,71.0,3740400
88.0,75.0,3744000
82.0,72.0,3747600
79.0,72.0,3751200
74.0,76.0,3754800
68.0,82.0,3758400
66.0,88.0,3762000
68.0,97.0,3765600
68.0,95.0,3769200
73.0,92.0,3772800
75.0,89.0,3776400
68.0,89.0,3780000
54.0,82.0,3783600
49.0,69.0,3787200
48.0,61.0,3790800
44.0,49.0,3794400
33.0,35.0,3798000
22.0,19.0,3801600
18.0,10.0,3805200
19.0,7.0,3808800
23.0,7.0,3812400
41.0,11.0,3816000
78.0,26.0,3819600
91.0,48.0,3823200
92.0,71.0,3826800
88.0,75.0,3830400
82.0,72.0,3834000
79.0,72.0,3837600
74.0,76.0,3841200
68.0,82.0,3844800
66.0,88.0,3848400
68.0,97.0,3852000
68.0,95.0,3855600
73.0,92.0,3859200
75.0,89.0,3862800
68.0,89.0,3866400
54.0,82.0,3870000
49.0,69.0,3873600
48.0,61.0,3877200
44.0,49.0,3880800
33.0,35.0,3884400
22.0,19.0,3888000
18.0,10.0,3891600
19.0,7.0,3895200
23.0,7.0,3898800
41.0,11.0,3902400
78.0,26.0,3906000
91.0,48.0,3909600
92.0,71.0,3913200
88.0,75.0,3916800
82.0,72.0,3920400
79.0,72.0,3924000
74.0,76.0,3927600
68.0,82.0,3931200
66.0,88.0,3934800
68.0,97.0,3938400
68.0,95.0,3942000
73.0,92.0,3945600
75.0,89.0,3949200
68.0,89.0,3952800
54.0,82.0,3956400
49.0,69.0,3960000
48.0,61.0,3963600
44.0,49.0,3967200
33.0,35.0,3970800
22.0,19.0,3974400
18.0,10.0,3978000
19.0,7.0,3981600
23.0,7.0,3985200
41.0,11.0,3988800
78.0,26.0,3992400
91.0,48.0,3996000
92.0,71.0,3999600
88.0,75.0,4003200
82.0,72.0,4006800
79.0,72.0,4010400
74.0,76.0,4014000
68.0,82.0,4017600
66.0,88.0,4021200
68.0,97.0,4024800
68.0,95.0,4028400
73.0,92.0,4032000
75.0,89.0,4035600
68.0,89.0,4039200
54.0,82.0,4042800
49.0,69.0,4046400
48.0,61.0,4050000
44.0,49.0,4053600
33.0,35.0,4057200
22.0,19.0,4060800
18.0,10.0,4064400
19.0,7.0,4068000
23.0,7.0,4071600
41.0,11.0,4075200
78.0,26.0,4078800
91.0,48.0,4082400
92.0,71.0,4086000
88.0,75.0,4089600
82.0,72.0,4093200
79.0,72.0,4096800
74.0,76.0,4100400
68.0,82.0,4104000
66.0,88.0,4107600
68.0,97.0,4111200
68.0,95.0,4114800
73.0,92.0,4118400
75.0,89.0,4122000
68.0,89.0,4125600
54.0,82.0,4129200
49.0,69.0,4132800
48.0,61.0,4136400
44.0,49.0,4140000
33.0,35.0,4143600
22.0,19.0,4147200
18.0,10.0,4150800
19.0,7.0,4154400
23.0,7.0,4158000
41.0,11.0,4161600
78.0,26.0,4165200
91.0,48.0,4168800
92.0,71.0,4172400
88.0,75.0,4176000
82.0,72.0,4179600
79.0,72.0,4183200
74.0,76.0,4186800
68.0,82.0,4190400
66.0,88.0,4194000
68.0,97.0,4197600
68.0,95.0,4201200
73.0,92.0,4204800
75.0,89.0,4208400
68.0,89.0,4212000
54.0,82.0,4215600
49.0,69.0,4219200
48.0,61.0,4222800
44.0,49.0,4226400
33.0,35.0,4230000
22.0,19.0,4233600
18.0,10.0,4237200
19.0,7.0,4240800
23.0,7.0,4244400
41.0,11.0,4248000
78.0,26.0,4251600
91.0,48.0,4255200
92.0,71.0,4258800
88.0,75.0,4262400
82.0,72.0,4266000
