locationname,datetime,temp,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility
HHR,2022-09-06T03:00:00,75.8,5.8,0,0,1008.5,88.4,9.9
HHR,2022-09-06T04:00:00,75.8,4.7,0,0,1008.3,88.4,9.9
HHR,2022-09-06T05:00:00,75.8,4.7,0,0.017453293,1008.2,88.4,9.9
HHR,2022-09-06T06:00:00,75.8,2.7,0,0.017453293,1008.6,88.6,9.9
HHR,2022-09-06T07:00:00,75.8,3.6,1.475232,2.44346095,1009.3,0.2,9.9
HHR,2022-09-06T08:00:00,78.2,4.3,0,0,1009.9,27.5,9.9
HHR,2022-09-06T09:00:00,81,5.4,1.519936,2.967059725,1010.2,0.2,9.9
HHR,2022-09-06T10:00:00,83,4,0.044704,6.265732008,1010.6,0.2,9.9
HHR,2022-09-06T11:00:00,87.1,3.8,3.084576,4.53785605,1010.5,0.2,9.9
HHR,2022-09-06T12:00:00,88,4,2.592832,4.694935683,1010.1,0.2,9.9
HHR,2022-09-06T13:00:00,89,8.7,4.112768,4.1887902,1009.8,0.2,9.9
HHR,2022-09-06T14:00:00,89,9.2,4.604512,4.53785605,1009.4,0.2,9.9
HHR,2022-09-06T15:00:00,91.1,10.1,4.112768,4.1887902,1009.2,0.3,9.9
HHR,2022-09-06T16:00:00,89,8.7,4.604512,4.53785605,1009.1,0.3,9.9
HHR,2022-09-06T17:00:00,87.1,9.8,4.112768,4.712388975,1009.2,0.3,9.9
HHR,2022-09-06T18:00:00,83.9,10.5,4.112768,4.363323125,1009.7,0.2,9.9
HHR,2022-09-06T19:00:00,80,8.9,3.12928,5.061454825,1010,0.2,9.9
HHR,2022-09-06T20:00:00,78.2,6.9,3.084576,4.712388975,1010.6,27.5,9.9
HHR,2022-09-06T21:00:00,78.2,8.3,2.101088,4.53785605,1011.7,49.8,9.9
HHR,2022-09-06T22:00:00,77,6.5,2.101088,4.8869219,1012,49.7,9.9
HHR,2022-09-06T23:00:00,75.8,7.2,2.101088,4.53785605,1012.4,88.6,9.9
HHR,2022-09-07T00:00:00,75.8,4.9,2.101088,4.363323125,1012.7,88.6,9.9
HHR,2022-09-07T01:00:00,75.8,5.1,2.101088,4.53785605,1012.8,88.6,9.9
HHR,2022-09-07T02:00:00,74.9,9.8,0,6.265732008,1013,0.2,9.9
HHR,2022-09-07T03:00:00,74,6.9,2.592832,5.061454825,1011.8,49.8,9.9
HHR,2022-09-07T04:00:00,74.9,6,0,0,1012.2,88.6,9.9
HHR,2022-09-07T05:00:00,74,6.7,0,5.5850536,1012.2,27.5,9.9
HHR,2022-09-07T06:00:00,74.9,4.9,0,0,1012.5,27.5,9.9
HHR,2022-09-07T07:00:00,74.9,2.2,0,0,1013.1,24.7,9.9
HHR,2022-09-07T08:00:00,75.8,3.4,0,0,1013.8,0.2,9.9
HHR,2022-09-07T09:00:00,81,1.3,0,0,1014.1,0.2,9.9
HHR,2022-09-07T10:00:00,86,2.2,1.519936,4.53785605,1014.2,0,9.9
HHR,2022-09-07T11:00:00,88.1,2.2,2.592832,4.8869219,1014.1,0.2,9.9
HHR,2022-09-07T12:00:00,92,4.3,2.101088,4.8869219,1013.4,0.2,9.9
HHR,2022-09-07T13:00:00,92,7.8,2.101088,5.23598775,1012.7,0.4,9.9
HHR,2022-09-07T14:00:00,89,11.2,5.096256,4.53785605,1012.4,0.4,9.9
HHR,2022-09-07T15:00:00,87.1,12.1,5.722112,4.53785605,1011.7,0.2,9.9
HHR,2022-09-07T16:00:00,84.8,13,4.112768,4.8869219,1011.2,0.3,9.9
HHR,2022-09-07T17:00:00,83,13.6,5.722112,4.712388975,1010.7,0.5,9.9
HHR,2022-09-07T18:00:00,82.1,12.5,3.12928,5.061454825,1010.5,0.3,9.9
HHR,2022-09-07T19:00:00,79,12.5,4.112768,4.363323125,1010.6,0.2,9.9
HHR,2022-09-07T20:00:00,77,8.7,3.084576,3.83972435,1011.3,0.2,9.9
HHR,2022-09-07T21:00:00,77,7.4,3.084576,4.53785605,1012.1,0.2,9.9
HHR,2022-09-07T22:00:00,75.8,2.7,1.519936,3.665191425,1012.2,0.2,9.9
HHR,2022-09-07T23:00:00,75.8,2.2,0,0,1012.1,0.2,9.9
HHR,2022-09-08T00:00:00,75.8,5.1,1.519936,3.4906585,1012.1,0.2,9.9
HHR,2022-09-08T01:00:00,77,5.6,1.519936,5.23598775,1012,0.2,9.9
HHR,2022-09-08T02:00:00,77,9.4,0,6.265732008,1011.6,0.2,9.9
HHR,2022-09-08T03:00:00,74.9,4.5,0,6.2831853,1010.9,0.2,9.9
HHR,2022-09-08T04:00:00,74.9,4.5,0,0,1010.3,0.3,9.9
HHR,2022-09-08T05:00:00,74.9,7.6,0,6.248278715,1010.1,0.3,9.9
HHR,2022-09-08T06:00:00,74.9,2.9,0,6.265732008,1010.3,0.5,9.9
HHR,2022-09-08T07:00:00,74.9,2,0,6.2831853,1010.4,0.4,8.7
HHR,2022-09-08T08:00:00,75.8,4,0.044704,1.570796325,1010.9,50.2,8.7
HHR,2022-09-08T09:00:00,79.1,3.8,1.475232,1.74532925,1010.8,27.9,9.9
HHR,2022-09-08T10:00:00,82.1,10.5,3.084576,1.570796325,1011.2,27.9,9.9
HHR,2022-09-08T11:00:00,86,8.3,1.519936,2.617993875,1010.6,0.5,9.9
HHR,2022-09-08T12:00:00,91.1,13.2,0,6.265732008,1009.3,0.5,9.9
HHR,2022-09-08T13:00:00,95,5.1,2.592832,5.061454825,1008.1,0.5,9.9
HHR,2022-09-08T14:00:00,96.2,5.8,3.397504,4.974188363,1006.7,0.4,9.9
HHR,2022-09-08T15:00:00,98.9,17.2,4.604512,4.8869219,1005.3,0.3,9.9
HHR,2022-09-08T16:00:00,97,12.5,3.12928,4.8869219,1004.2,0.3,9.9
HHR,2022-09-08T17:00:00,88,18.1,3.621024,5.23598775,1003.4,0.3,9.9
HHR,2022-09-08T18:00:00,87.1,19.5,2.637536,4.8869219,1002.4,0.3,9.9
HHR,2022-09-08T19:00:00,89,24.4,3.621024,5.061454825,1001.7,0.3,9.9
HHR,2022-09-08T20:00:00,89,16.3,3.621024,4.53785605,1001.4,0.5,9.9
HHR,2022-09-08T21:00:00,83.9,18.6,4.112768,4.53785605,1001.5,0.5,9.9
HHR,2022-09-08T22:00:00,83.9,13.6,2.101088,5.23598775,1000.7,0.5,9.9
HHR,2022-09-08T23:00:00,83,13,3.621024,2.44346095,1001,0.5,9.9
HHR,2022-09-09T00:00:00,83.9,7.4,1.519936,2.967059725,1000.7,0.5,9.9
HHR,2022-09-09T01:00:00,83,6,0,0,1000.3,0.5,9.9
HHR,2022-09-09T02:00:00,84.8,8.5,0,0,999.7,0.5,9.9
HHR,2022-09-09T03:00:00,83,6.5,0,0.017453293,999.7,0.3,9.9
HHR,2022-09-09T04:00:00,83,7.8,0,0,999.5,0.3,9.9
HHR,2022-09-09T05:00:00,83,6,0,0,999.3,0.3,9.9
HHR,2022-09-09T06:00:00,82.1,4,0,0.017453293,999.9,0.5,9.9
HHR,2022-09-09T07:00:00,81,5.1,1.475232,6.2831853,1000.3,0.5,9.9
HHR,2022-09-09T08:00:00,83.9,9.4,0,0,1000.7,0.5,9.9
HHR,2022-09-09T09:00:00,90,5.6,0,0,1000.8,0.5,9.9
HHR,2022-09-09T10:00:00,91.1,9.2,2.101088,1.74532925,1001.2,0.5,9.9
HHR,2022-09-09T11:00:00,93.8,12.5,2.592832,1.570796325,1000.9,0.4,9.9
HHR,2022-09-09T12:00:00,97.1,20.8,2.592832,1.570796325,1000.5,0.4,9.9
HHR,2022-09-09T13:00:00,101,27.7,6.213856,1.570796325,999.7,0.5,9.9
HHR,2022-09-09T14:00:00,99,29.2,7.197344,1.74532925,999.8,0.4,9.9
HHR,2022-09-09T15:00:00,96.2,34.4,9.790176,1.74532925,999.7,50.3,9.9
HHR,2022-09-09T16:00:00,93.8,32.3,9.298432,1.919862175,999.5,89,5
HHR,2022-09-09T17:00:00,90,29.8,5.14096,2.44346095,1000.4,28,9.9
HHR,2022-09-09T18:00:00,87.2,14.8,3.084576,1.919862175,1000.9,0.6,9.9
HHR,2022-09-09T19:00:00,80.1,11,3.621024,2.7925268,1001.8,0.6,9.9
HHR,2022-09-09T20:00:00,79.1,13,2.592832,2.0943951,1002.9,89,9.9
HHR,2022-09-09T21:00:00,74.9,9.2,4.112768,2.44346095,1004.9,100,5
HHR,2022-09-09T22:00:00,73.1,13.6,3.084576,2.617993875,1005.6,100,9.9
HHR,2022-09-09T23:00:00,73.1,11,2.101088,2.967059725,1006.1,100,9.9
HHR,2022-09-10T00:00:00,73.1,6,2.592832,2.967059725,1006.8,100,6.8
HHR,2022-09-10T01:00:00,72,12.1,2.101088,2.44346095,1007.3,100,9.9
HHR,2022-09-10T02:00:00,73.1,11.4,1.519936,2.0943951,1007.3,100,9.9
HHR,2022-09-10T03:00:00,73.1,1.8,0,0,1007.7,100,9.9
HHR,2022-09-10T04:00:00,74,3.1,0,0,1007.9,100,9.9
HHR,2022-09-10T05:00:00,74,3.4,0,0,1008.3,100,9.9
HHR,2022-09-10T06:00:00,74,8.1,1.519936,0.305432619,1008.7,100,9.9
HHR,2022-09-10T07:00:00,74,9.4,0,6.2831853,1009.1,100,9.9
HHR,2022-09-10T08:00:00,75.8,9.8,0,0.017453293,1009.6,100,9.9
HHR,2022-09-10T09:00:00,77,11.2,0,0,1009.8,100,9.9
HHR,2022-09-10T10:00:00,79.1,13.9,0,0.017453293,1010.9,100,9.9
HHR,2022-09-10T11:00:00,79.1,12.8,4.112768,4.53785605,1011.5,89,9.9
HHR,2022-09-10T12:00:00,79.1,11,2.101088,4.67748239,1011.9,27.9,9.9
HHR,2022-09-10T13:00:00,79.1,9.2,3.084576,2.967059725,1011.9,0.6,9.9
HHR,2022-09-10T14:00:00,80.1,8.5,3.57632,2.44346095,1011.6,0.6,9.9
HHR,2022-09-10T15:00:00,81,5.4,2.592832,3.4906585,1011.3,0.6,9.9
HHR,2022-09-10T16:00:00,80.1,7.2,3.084576,3.682644718,1011.1,89,9.9
HHR,2022-09-10T17:00:00,80.1,9.8,3.57632,2.617993875,1011,28,9.9
HHR,2022-09-10T18:00:00,79.1,8.3,2.101088,3.14159265,1011,27.9,9.9
HHR,2022-09-10T19:00:00,79.1,5.4,1.519936,3.179989894,1011.1,0.5,9.9
HHR,2022-09-10T20:00:00,78.2,6.3,1.519936,2.7925268,1011.6,27.9,9.9
HHR,2022-09-10T21:00:00,77,7.6,2.592832,2.268928025,1012.6,0.5,9.9
HHR,2022-09-10T22:00:00,77,7.6,2.101088,2.44346095,1013.1,27.9,9.9
HHR,2022-09-10T23:00:00,77,8.3,1.519936,2.0943951,1013.3,27.9,9.9
HHR,2022-09-11T00:00:00,77,8.5,1.519936,2.268928025,1013.6,100,9.9
HHR,2022-09-11T01:00:00,77,4.3,1.519936,2.268928025,1013.8,100,9.9
HHR,2022-09-11T02:00:00,77,6.7,2.101088,1.74532925,1013.6,100,9.9
HHR,2022-09-11T03:00:00,77,5.1,0,0.017453293,1013.7,99.9,9.9
HHR,2022-09-11T04:00:00,77,4.3,2.101088,2.44346095,1013.8,99.9,9.9
HHR,2022-09-11T05:00:00,77,4.3,0,0.034906585,1014,89,9.9
HHR,2022-09-11T06:00:00,75.8,4.9,1.519936,2.44346095,1014.6,99.9,8.7
HHR,2022-09-11T07:00:00,77,4.7,1.475232,1.919862175,1015.2,100,9.9
HHR,2022-09-11T08:00:00,78.2,4.9,0,0.034906585,1015.7,100,6.9
HHR,2022-09-11T09:00:00,79.1,4.9,0,0.017453293,1015.9,100,9.9
HHR,2022-09-11T10:00:00,81,2.9,0,0.034906585,1016.1,0,9.9
HHR,2022-09-11T11:00:00,83,3.1,2.101088,3.665191425,1016.3,89,9.9
HHR,2022-09-11T12:00:00,86,4,3.621024,4.712388975,1015.9,27.6,9.9
HHR,2022-09-11T13:00:00,84.8,8.7,5.096256,4.1887902,1015.5,0.3,9.9
HHR,2022-09-11T14:00:00,86,11,5.722112,4.363323125,1014.8,0.3,9.9
HHR,2022-09-11T15:00:00,84.8,20.8,5.722112,4.53785605,1013.9,0.2,9.9
HHR,2022-09-11T16:00:00,84.8,15.4,7.689088,4.53785605,1013.5,0.2,9.9
HHR,2022-09-11T17:00:00,83.9,15.7,7.197344,4.53785605,1013.5,0.2,9.9
HHR,2022-09-11T18:00:00,82.1,12.1,6.213856,4.712388975,1014.3,50,9.9
HHR,2022-09-11T19:00:00,82.1,12.5,4.604512,4.363323125,1014.7,89,9.9
HHR,2022-09-11T20:00:00,80,12.3,3.12928,5.061454825,1014.9,0.5,9.9
HHR,2022-09-11T21:00:00,80,11.6,2.592832,4.712388975,1015.4,27.9,9.9
HHR,2022-09-11T22:00:00,79.1,11.4,2.101088,4.363323125,1015.2,0.5,9.9
HHR,2022-09-11T23:00:00,77,12.1,3.084576,4.363323125,1015,0.5,9.9
HHR,2022-09-12T00:00:00,77,12.3,2.592832,4.363323125,1014.8,0.5,9.9
HHR,2022-09-12T01:00:00,77,13.9,3.084576,4.363323125,1014.6,0.3,9.9
HHR,2022-09-12T02:00:00,77,13,0.044704,6.265732008,1014.3,27.6,9.9
HHR,2022-09-12T03:00:00,75.8,11.6,0.044704,6.265732008,1014.1,0.3,9.9
HHR,2022-09-12T04:00:00,75.8,9.4,2.101088,4.363323125,1014.1,0.3,9.9
HHR,2022-09-12T05:00:00,74.9,5.6,0,5.79449311,1013.9,89,9.9
HHR,2022-09-12T06:00:00,74.9,0.9,0,0,1014.2,0.3,9.9
HHR,2022-09-12T07:00:00,75.8,2.5,0,0.017453293,1014.5,0.3,9.9
HHR,2022-09-12T08:00:00,75.8,5.1,0,0.34906585,1014.8,27.8,9.9
HHR,2022-09-12T09:00:00,78.2,3.1,0,0,1015,0.4,9.9
HHR,2022-09-12T10:00:00,81,3.4,1.519936,5.23598775,1015.2,27.8,9.9
HHR,2022-09-12T11:00:00,81,6,4.112768,4.53785605,1015,0.4,9.9
HHR,2022-09-12T12:00:00,83,9.6,4.604512,4.014257275,1014.5,0.6,9.9
HHR,2022-09-12T13:00:00,83.9,11.4,5.722112,4.53785605,1013.9,0.3,9.9
HHR,2022-09-12T14:00:00,83.9,11.2,5.096256,4.8869219,1013.1,0.3,9.9
HHR,2022-09-12T15:00:00,83.9,14.5,7.689088,4.53785605,1012.6,0.2,9.9
HHR,2022-09-12T16:00:00,82.1,23,6.7056,4.712388975,1011.9,0.2,9.9
HHR,2022-09-12T17:00:00,80.9,16.6,6.213856,4.712388975,1011.8,0.2,9.9
HHR,2022-09-12T18:00:00,80.9,16.3,7.197344,4.53785605,1011.5,0.2,9.9
HHR,2022-09-12T19:00:00,78.1,15,3.621024,4.8869219,1011.5,0.3,9.9
HHR,2022-09-12T20:00:00,77,14.1,2.101088,4.502949465,1011.9,0.2,9.9
HHR,2022-09-12T21:00:00,74.9,12.5,1.519936,4.8869219,1012.2,0.2,9.9
HHR,2022-09-12T22:00:00,74.9,10.7,2.592832,4.8869219,1012.3,0.2,9.9
HHR,2022-09-12T23:00:00,74,8.1,3.084576,4.014257275,1012.2,0.3,9.9
HHR,2022-09-13T00:00:00,73.1,8.3,2.592832,4.8869219,1012.3,0.3,9.9
HHR,2022-09-13T01:00:00,73.1,7.4,2.101088,4.1887902,1012.1,0.3,9.9
HHR,2022-09-13T02:00:00,72,6.5,2.592832,4.014257275,1011.9,0.2,9.9
HHR,2022-09-13T03:00:00,72,3.8,0,0,1011.8,88.6,9.9
HHR,2022-09-13T04:00:00,72,2.5,1.475232,4.712388975,1011.2,0.3,9.9
HHR,2022-09-13T05:00:00,71.9,3.6,2.592832,4.53785605,1011.4,0.5,9.9
HHR,2022-09-13T06:00:00,71.9,4,0,0,1011.5,0.3,9.9
HHR,2022-09-13T07:00:00,71.9,2.9,0,0,1011.7,0.3,8.7
HHR,2022-09-13T08:00:00,72,6,0,1.097812098,1012,0.3,8.7
HHR,2022-09-13T09:00:00,75.8,7.8,1.519936,2.0943951,1011.9,0.3,9.9
HHR,2022-09-13T10:00:00,78.2,5.6,0,6.265732008,1012.1,0.3,9.9
HHR,2022-09-13T11:00:00,80,6,2.592832,4.014257275,1011.9,27.7,9.9
HHR,2022-09-13T12:00:00,82.1,8.5,4.604512,4.1887902,1011.5,0.3,9.9
